,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
578,0.245,0.0739,8,-24.755,1,0.0323,0.976,0.759,0.0891,0.0612,99.643,audio_features,5JEgNuB9pjqB6K2F3rFlvE,spotify:track:5JEgNuB9pjqB6K2F3rFlvE,https://api.spotify.com/v1/tracks/5JEgNuB9pjqB6K2F3rFlvE,https://api.spotify.com/v1/audio-analysis/5JEgNuB9pjqB6K2F3rFlvE,154427,4
579,0.354,0.102,8,-19.977,1,0.0416,0.992,0.923,0.112,0.0487,70.369,audio_features,7KijjTN8CKMBWOiAPwsWbp,spotify:track:7KijjTN8CKMBWOiAPwsWbp,https://api.spotify.com/v1/tracks/7KijjTN8CKMBWOiAPwsWbp,https://api.spotify.com/v1/audio-analysis/7KijjTN8CKMBWOiAPwsWbp,206893,4
580,0.375,0.0746,0,-22.915,0,0.0447,0.99,0.897,0.0914,0.0754,109.433,audio_features,0dInBktQVoiBjkQI3d7ZpD,spotify:track:0dInBktQVoiBjkQI3d7ZpD,https://api.spotify.com/v1/tracks/0dInBktQVoiBjkQI3d7ZpD,https://api.spotify.com/v1/audio-analysis/0dInBktQVoiBjkQI3d7ZpD,519787,4
581,0.315,0.129,6,-20.944,1,0.0336,0.983,0.915,0.142,0.206,69.238,audio_features,43xo2q9FC2L2f27qM5lLnV,spotify:track:43xo2q9FC2L2f27qM5lLnV,https://api.spotify.com/v1/tracks/43xo2q9FC2L2f27qM5lLnV,https://api.spotify.com/v1/audio-analysis/43xo2q9FC2L2f27qM5lLnV,280467,4
582,0.276,0.0289,6,-26.693,1,0.0345,0.99,0.917,0.0778,0.0442,67.684,audio_features,6wFi2y3Ll9IawfYhf5KMWc,spotify:track:6wFi2y3Ll9IawfYhf5KMWc,https://api.spotify.com/v1/tracks/6wFi2y3Ll9IawfYhf5KMWc,https://api.spotify.com/v1/audio-analysis/6wFi2y3Ll9IawfYhf5KMWc,360813,4
583,0.275,0.0774,8,-21.887,1,0.0366,0.988,0.936,0.126,0.0388,71.128,audio_features,0oqOkzpUhrA2yiDPbyZDHa,spotify:track:0oqOkzpUhrA2yiDPbyZDHa,https://api.spotify.com/v1/tracks/0oqOkzpUhrA2yiDPbyZDHa,https://api.spotify.com/v1/audio-analysis/0oqOkzpUhrA2yiDPbyZDHa,471333,3
584,0.313,0.103,3,-21.658,1,0.0417,0.979,0.932,0.0983,0.16,65.034,audio_features,6z6zs29DZO3FrJrjY2gE2k,spotify:track:6z6zs29DZO3FrJrjY2gE2k,https://api.spotify.com/v1/tracks/6z6zs29DZO3FrJrjY2gE2k,https://api.spotify.com/v1/audio-analysis/6z6zs29DZO3FrJrjY2gE2k,379027,4
585,0.413,0.127,9,-21.225,1,0.0394,0.987,0.902,0.117,0.0703,101.18,audio_features,7qIvNExJQ62JojGed2ZNvc,spotify:track:7qIvNExJQ62JojGed2ZNvc,https://api.spotify.com/v1/tracks/7qIvNExJQ62JojGed2ZNvc,https://api.spotify.com/v1/audio-analysis/7qIvNExJQ62JojGed2ZNvc,397320,4
586,0.206,0.058,10,-20.467,1,0.0441,0.99,0.000573,0.09,0.0479,176.377,audio_features,3eLlW0GegkXy3o92t51xaJ,spotify:track:3eLlW0GegkXy3o92t51xaJ,https://api.spotify.com/v1/tracks/3eLlW0GegkXy3o92t51xaJ,https://api.spotify.com/v1/audio-analysis/3eLlW0GegkXy3o92t51xaJ,379053,3
587,0.096,0.101,11,-17.692,0,0.0355,0.891,0.921,0.132,0.0468,76.02,audio_features,3FMW2qArFQCYgkACKiqyeq,spotify:track:3FMW2qArFQCYgkACKiqyeq,https://api.spotify.com/v1/tracks/3FMW2qArFQCYgkACKiqyeq,https://api.spotify.com/v1/audio-analysis/3FMW2qArFQCYgkACKiqyeq,689000,4
